rmse,group
1.5150268054245957,correct MT
1.466492022400581,correct MT
1.487941183207198,correct MT
1.4964240701029918,correct MT
1.4920353401178843,correct MT
1.4660117718434618,correct MT
1.5160248678516093,correct MT
1.459631766725885,correct MT
1.5152475601966862,correct MT
1.512511085370326,correct MT
3.95631705316336,smart random MT
3.379560461760726,smart random MT
4.505911618703526,smart random MT
2.888314154847003,smart random MT
4.224226848060799,smart random MT
2.3646048743903494,smart random MT
2.0683772334746435,smart random MT
3.965786636878476,smart random MT
2.5497987773582924,smart random MT
2.6494566073984123,smart random MT
2.659073832434311,time series MT
2.1800056512373875,time series MT
2.314873186935465,time series MT
2.309448943170122,time series MT
2.333637960129122,time series MT
2.0390255903226344,time series MT
2.3040552940905643,time series MT
2.5726793899971048,time series MT
2.113942681555199,time series MT
2.085274481135765,time series MT
1.4999480011407966,learned MT
1.456830972093743,learned MT
1.4535019552279431,learned MT
1.4926258217892143,learned MT
1.49468782178673,learned MT
1.4633978485431929,learned MT
1.5144134926711497,learned MT
1.4609353994732586,learned MT
1.549090958455264,learned MT
1.4994981974897763,learned MT
